estacao,data,condicao,temp_min,temp_max,umidade,uv,categoria_uv,risco_uv,precipitacao,prob_chuva,vento,rajada,direcao,prob_raios,risco
UTE Termocamaçari - UTE TCA,19/05/2026,Sem chuva,22,29,59,7,Alto,Amarelo,0.28,54,7,24,SE,35,Amarelo
UTE Termocamaçari - UTE TCA,20/05/2026,Chuva fraca,22,28,67,7,Alto,Amarelo,2.6,76,7,25,SE,48,Amarelo
UTE Termocamaçari - UTE TCA,21/05/2026,Chuva fraca,22,28,72,5,Moderado,Verde,3.92,64,8,27,S,46,Verde
UTE Termocamaçari - UTE TCA,22/05/2026,Sem chuva,23,23,92,0,Baixo,Verde,0.76,29,6,15,SE,21,Verde
UTE Termobahia - UTE TBA,19/05/2026,Sem chuva,22,30,58,7,Alto,Amarelo,0.34,38,6,25,SE,29,Amarelo
UTE Termobahia - UTE TBA,20/05/2026,Chuva fraca,22,28,67,6,Alto,Amarelo,2.58,80,6,25,SE,51,Amarelo
UTE Termobahia - UTE TBA,21/05/2026,Chuva fraca,22,28,70,5,Moderado,Verde,8.9,42,8,27,S,36,Verde
UTE Termobahia - UTE TBA,22/05/2026,Sem chuva,23,24,91,0,Baixo,Verde,0.74,24,6,16,SE,19,Verde
UTE Termoceará - UTE TCE,19/05/2026,Sem chuva,24,31,55,8,Muito Alto,Amarelo,0.1,21,10,32,SE,30,Amarelo
UTE Termoceará - UTE TCE,20/05/2026,Sem chuva,24,32,54,8,Muito Alto,Amarelo,0.0,1,10,30,SE,20,Amarelo
UTE Termoceará - UTE TCE,21/05/2026,Sem chuva,24,32,54,8,Muito Alto,Amarelo,0.12,24,10,30,SE,33,Amarelo
UTE Termoceará - UTE TCE,22/05/2026,Sem chuva,25,25,88,0,Baixo,Verde,0.0,4,6,13,E,16,Verde
UTE Vale do Açu - UTE VLA,19/05/2026,Sem chuva,22,32,46,8,Muito Alto,Amarelo,0.0,0,10,28,SE,18,Amarelo
UTE Vale do Açu - UTE VLA,20/05/2026,Sem chuva,23,33,46,8,Muito Alto,Amarelo,0.02,3,12,30,SE,26,Amarelo
